2014-05-15 09:38:58 you_young: Start autoRelist
2014-05-15 09:38:58 you_young: getting productStoreEbaySetting
2014-05-15 09:38:58 you_young: smartRelist from productStoreEbaySetting is true
2014-05-15 09:38:58 you_young: End autoRelist
2014-05-15 09:42:56 you_young: Start autoRelist
2014-05-15 09:42:56 you_young: getting productStoreEbaySetting
2014-05-15 09:42:56 you_young: smartRelist from productStoreEbaySetting is true
2014-05-15 09:42:56 you_young: End autoRelist
2014-05-15 09:44:47 you_young: Start autoRelist
2014-05-15 09:44:47 you_young: getting productStoreEbaySetting
2014-05-15 09:44:47 you_young: smartRelist from productStoreEbaySetting is true
2014-05-15 09:44:47 you_young: End autoRelist
2014-05-15 09:59:52 you_young: Start autoRelist
2014-05-15 09:59:52 you_young: getting productStoreEbaySetting
2014-05-15 09:59:52 you_young: smartRelist from productStoreEbaySetting is true
2014-05-15 09:59:52 you_young: End autoRelist
2014-05-15 10:02:15 you_young: Start autoRelist
2014-05-15 10:02:15 you_young: getting productStoreEbaySetting
2014-05-15 10:02:15 you_young: smartRelist from productStoreEbaySetting is true
2014-05-15 10:02:15 you_young: End autoRelist
2014-05-16 03:31:28 you_young: Start autoRelist
2014-05-16 03:31:28 you_young: getting productStoreEbaySetting
2014-05-16 03:31:28 you_young: smartRelist from productStoreEbaySetting is true
2014-05-16 03:31:28 you_young: itemId 321349524682, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221392699266, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321349561413, qtySold 21
2014-05-16 03:31:28 you_young: itemId 221392727195, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321349659608, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221316151242, qtySold 1
2014-05-16 03:31:28 you_young: itemId 321249020562, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221316166400, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321249060560, qtySold 1
2014-05-16 03:31:28 you_young: itemId 321249065771, qtySold 196
2014-05-16 03:31:28 you_young: itemId 221316188318, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221316254276, qtySold 50
2014-05-16 03:31:28 you_young: itemId 321349959923, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221316319053, qtySold 24
2014-05-16 03:31:28 you_young: itemId 221316319057, qtySold 4
2014-05-16 03:31:28 you_young: itemId 221316386399, qtySold 4
2014-05-16 03:31:28 you_young: itemId 321249328412, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321350132937, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221393208849, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221393372217, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321350499311, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321350499313, qtySold 1
2014-05-16 03:31:28 you_young: itemId 321350499315, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321350511602, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321350511609, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321350511610, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321350511612, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321249773757, qtySold 6
